Customer_ID,Transaction_ID,Product_Category,Product_Name,Quantity_Purchased,Purchase_Amount,Discount_Percentage,Final_Price,Purchase_Date,Payment_Method,Customer_Age,Customer_Gender,Region
1,T00001,Headphones,Bose 700,1,1168.87,22.01,911.6,3/19/2024,Debit Card,64,Male,South America
2,T00002,Headphones,AirPods Pro,8,659.06,4.12,631.91,3/11/2023,Credit Card,31,Male,North America
3,T00003,TV,LG OLED,8,1776.47,0.57,1766.34,11/8/2024,PayPal,26,Male,Asia
4,T00004,Smartwatch,Apple Watch Series 7,7,1877.17,29.35,1326.22,9/8/2023,Credit Card,26,Female,Europe
5,T00005,Headphones,Bose 700,3,2257.9,17.05,1872.93,10/30/2023,Credit Card,57,Male,Europe
6,T00006,Headphones,Sony WH-1000XM4,10,2084.76,5.87,1962.38,2/12/2025,Debit Card,56,Male,South America
7,T00007,Mobile,iPhone 13,1,336.55,14.26,288.56,11/19/2023,PayPal,59,Male,Africa
8,T00008,Laptop,HP Spectre x360,4,2885.72,29.62,2030.97,2/25/2024,Debit Card,52,Female,South America
9,T00009,TV,LG OLED,9,1950.86,4.51,1862.88,6/24/2024,PayPal,27,Male,Asia
10,T00010,Laptop,MacBook Pro,10,546.5,3.01,530.05,3/28/2024,PayPal,21,Male,Africa
11,T00011,TV,Sony Bravia,4,2087.35,27.81,1506.86,3/20/2024,Credit Card,63,Female,North America
12,T00012,Mobile,Google Pixel 6,7,1462.06,22.65,1130.9,7/9/2023,Credit Card,28,Female,Europe
13,T00013,TV,Sony Bravia,6,736.46,14.39,630.48,5/15/2023,Cash,28,Male,South America
14,T00014,Mobile,iPhone 13,7,1364.71,14.19,1171.06,5/18/2023,Credit Card,48,Male,Africa
15,T00015,Smartwatch,Samsung Galaxy Watch 4,6,1283.14,15.11,1089.26,1/28/2025,PayPal,62,Male,Africa
16,T00016,Mobile,iPhone 13,2,2103.24,23.98,1598.88,7/6/2024,Cash,29,Female,South America
17,T00017,Mobile,Samsung Galaxy S22,10,1050.31,4.84,999.47,11/7/2023,Cash,59,Female,Europe
18,T00018,Smartwatch,Samsung Galaxy Watch 4,10,212.63,16.56,177.42,6/25/2024,Credit Card,56,Female,Africa
19,T00019,Mobile,iPhone 13,7,2458.72,2.54,2396.27,5/10/2024,Credit Card,23,Female,Africa
20,T00020,TV,Sony Bravia,8,1288.12,6.06,1210.06,6/22/2024,Debit Card,59,Female,South America
21,T00021,Smartwatch,Samsung Galaxy Watch 4,1,340.22,15.8,286.47,7/28/2023,Cash,61,Male,Asia
22,T00022,Headphones,Sony WH-1000XM4,2,2845.22,27.68,2057.66,3/11/2024,Debit Card,30,Male,Asia
23,T00023,Laptop,Dell XPS 15,10,2309.37,18.61,1879.6,7/8/2024,Cash,40,Female,South America
24,T00024,TV,LG OLED,9,1818.74,3.43,1756.36,11/11/2024,PayPal,40,Female,North America
25,T00025,Smartwatch,Apple Watch Series 7,6,2380.98,27.88,1717.16,11/21/2024,PayPal,29,Female,Asia
26,T00026,Laptop,Dell XPS 15,9,1050.23,2.74,1021.45,3/4/2024,Debit Card,68,Female,Europe
27,T00027,Smartwatch,Samsung Galaxy Watch 4,3,257.7,9.5,233.22,2/25/2023,Credit Card,28,Female,South America
28,T00028,Headphones,Bose 700,6,1446.6,9.24,1312.93,1/19/2025,Debit Card,26,Male,Africa
29,T00029,Smartwatch,Samsung Galaxy Watch 4,3,357.52,28.64,255.13,11/5/2023,Cash,47,Male,Africa
